output_name,description,source_xlsx
dpad_N,PS3 D-Pad Button North,Android Game Controller.xlsx
dpad_NE,PS3 D-Pad Buttons North and East,Android Game Controller.xlsx
dpad_E,PS3 D-Pad Button East,Android Game Controller.xlsx
dpad_SE,PS3 D-Pad Buttons South and East,Android Game Controller.xlsx
dpad_S,PS3 D-Pad Button South,Android Game Controller.xlsx
dpad_SW,PS3 D-Pad Buttons South and West,Android Game Controller.xlsx
dpad_W,PS3 D-Pad Button West,Android Game Controller.xlsx
dpad_NW,PS3 D-Pad Buttons North and West,Android Game Controller.xlsx
left_joy_left,PS3 Left Joystick Left side,Android Game Controller.xlsx
left_joy_right,PS3 Left Joystick Right side,Android Game Controller.xlsx
left_joy_up,PS3 Left Joystick Up,Android Game Controller.xlsx
left_joy_down,PS3 Left Joystick Down,Android Game Controller.xlsx
right_joy_left,PS3 Right Joystick Left side,Android Game Controller.xlsx
right_joy_right,PS3 Right Joystick Right side,Android Game Controller.xlsx
right_joy_up,PS3 Right Joystick Up,Android Game Controller.xlsx
right_joy_down,PS3 Right Joystick Down,Android Game Controller.xlsx
left_1,PS3 Left Button 1,Android Game Controller.xlsx
left_2,PS3 Left Button 2 (trigger),Android Game Controller.xlsx
left_3,PS3 Left Button 3 (Press joystick),Android Game Controller.xlsx
right_1,PS3 Right Button 1,Android Game Controller.xlsx
right_2,PS3 Right Button 2 (trigger),Android Game Controller.xlsx
right_3,PS3 Right Button 3 (Press joystick),Android Game Controller.xlsx
x,PS3 Button X,Android Game Controller.xlsx
square,PS3 Button Square,Android Game Controller.xlsx
triangle,PS3 Button Triangle,Android Game Controller.xlsx
circle,PS3 Button Circle,Android Game Controller.xlsx
ps3,PS3 Home,Android Game Controller.xlsx
select,PS3 Select,Android Game Controller.xlsx
start,PS3 Start,Android Game Controller.xlsx
acceleration_x_right,PS3 motion sensor to right,Android Game Controller.xlsx
acceleration_x_left,PS3 motion sensor to left,Android Game Controller.xlsx
acceleration_y_fore,PS3 motion sensor away from player,Android Game Controller.xlsx
acceleration_y_aft,PS3 motion sensor towards player,Android Game Controller.xlsx
acceleration_z_up,PS3 motion sensor up,Android Game Controller.xlsx
acceleration_z_down,PS3 motion sensor down,Android Game Controller.xlsx
gyroscope_cw,PS3 gyroscope clockwise,Android Game Controller.xlsx
gyroscope_ccw,PS3 gyroscope counter clockwise,Android Game Controller.xlsx
mouse_left,Mouse Left movement,Android Game Controller.xlsx
mouse_right,Mouse Right movement,Android Game Controller.xlsx
mouse_up,Mouse Up movement,Android Game Controller.xlsx
mouse_down,Mouse Down movement,Android Game Controller.xlsx
mouse_wheel_up,Mouse Wheel Up rotation,Android Game Controller.xlsx
mouse_wheel_down,Mouse Wheel Down rotation,Android Game Controller.xlsx
mouse_pan_left,Mouse Pan Left tilt,Android Game Controller.xlsx
mouse_pan_right,Mouse Pan Right tilt,Android Game Controller.xlsx
mouse_back,Mouse Button Back,Android Game Controller.xlsx
mouse_forward,Mouse Button Forward,Android Game Controller.xlsx
mouse_left_button,Mouse Button Left,Android Game Controller.xlsx
mouse_right_button,Mouse Button Right,Android Game Controller.xlsx
mouse_middle_button,Mouse Button Middle,Android Game Controller.xlsx
digital_out1_on,Digital Out 1 turn on,Android Game Controller.xlsx
digital_out1_off,Digital Out 1 turn off,Android Game Controller.xlsx
digital_out1_toggle,Digital Out 1 toggle state,Android Game Controller.xlsx
digital_out2_on,Digital Out 2 turn on,Android Game Controller.xlsx
digital_out2_off,Digital Out 2 turn off,Android Game Controller.xlsx
digital_out2_toggle,Digital Out 2 toggle state,Android Game Controller.xlsx
brightness_up,LEDs Brighter,Android Game Controller.xlsx
brightness_down,LEDs Dimmer,Android Game Controller.xlsx
volume_up,Speaker increase volume,Android Game Controller.xlsx
volume_down,Speaker decrease volume,Android Game Controller.xlsx
increment_mode,Change to next profile,Android Game Controller.xlsx
decrement_mode,Change to previous profile,Android Game Controller.xlsx
ir_tv_channel_up,Xmit IR code from command table,Android Game Controller.xlsx
ir_tv_channel_down,Xmit IR code from command table,Android Game Controller.xlsx
ir_tv_volume_up,Xmit IR code from command table,Android Game Controller.xlsx
ir_tv_volume_down,Xmit IR code from command table,Android Game Controller.xlsx
ir_tv_on_off,Xmit IR code from command table,Android Game Controller.xlsx
ir_tv_select_input,Xmit IR code from command table,Android Game Controller.xlsx
ir_play,Xmit IR code from command table,Android Game Controller.xlsx
ir_stop,Xmit IR code from command table,Android Game Controller.xlsx
ir_fast_forward,Xmit IR code from command table,Android Game Controller.xlsx
ir_rewind,Xmit IR code from command table,Android Game Controller.xlsx
ir_skip_forward,Xmit IR code from command table,Android Game Controller.xlsx
ir_skip_back,Xmit IR code from command table,Android Game Controller.xlsx
ir_record,Xmit IR code from command table,Android Game Controller.xlsx
ir_pause,Xmit IR code from command table,Android Game Controller.xlsx
ir_mute,Xmit IR code from command table,Android Game Controller.xlsx
ir_guide,Xmit IR code from command table,Android Game Controller.xlsx
ir_menu,Xmit IR code from command table,Android Game Controller.xlsx
ir_cancel,Xmit IR code from command table,Android Game Controller.xlsx
ir_select,Xmit IR code from command table,Android Game Controller.xlsx
ir_up,Xmit IR code from command table,Android Game Controller.xlsx
ir_down,Xmit IR code from command table,Android Game Controller.xlsx
ir_left,Xmit IR code from command table,Android Game Controller.xlsx
ir_right,Xmit IR code from command table,Android Game Controller.xlsx
ir_aux1,Xmit IR code from command table,Android Game Controller.xlsx
ir_aux2,Xmit IR code from command table,Android Game Controller.xlsx
ir_aux3,Xmit IR code from command table,Android Game Controller.xlsx
ir_aux4,Xmit IR code from command table,Android Game Controller.xlsx
kb_a,Keyboard send key,Android Game Controller.xlsx
kb_b,Keyboard send key,Android Game Controller.xlsx
kb_c,Keyboard send key,Android Game Controller.xlsx
kb_d,Keyboard send key,Android Game Controller.xlsx
kb_e,Keyboard send key,Android Game Controller.xlsx
kb_f,Keyboard send key,Android Game Controller.xlsx
kb_g,Keyboard send key,Android Game Controller.xlsx
kb_h,Keyboard send key,Android Game Controller.xlsx
kb_i,Keyboard send key,Android Game Controller.xlsx
kb_j,Keyboard send key,Android Game Controller.xlsx
kb_k,Keyboard send key,Android Game Controller.xlsx
kb_l,Keyboard send key,Android Game Controller.xlsx
kb_m,Keyboard send key,Android Game Controller.xlsx
kb_n,Keyboard send key,Android Game Controller.xlsx
kb_o,Keyboard send key,Android Game Controller.xlsx
kb_p,Keyboard send key,Android Game Controller.xlsx
kb_q,Keyboard send key,Android Game Controller.xlsx
kb_r,Keyboard send key,Android Game Controller.xlsx
kb_s,Keyboard send key,Android Game Controller.xlsx
kb_t,Keyboard send key,Android Game Controller.xlsx
kb_u,Keyboard send key,Android Game Controller.xlsx
kb_v,Keyboard send key,Android Game Controller.xlsx
kb_w,Keyboard send key,Android Game Controller.xlsx
kb_x,Keyboard send key,Android Game Controller.xlsx
kb_y,Keyboard send key,Android Game Controller.xlsx
kb_z,Keyboard send key,Android Game Controller.xlsx
kb_1,Keyboard send key,Android Game Controller.xlsx
kb_2,Keyboard send key,Android Game Controller.xlsx
kb_3,Keyboard send key,Android Game Controller.xlsx
kb_4,Keyboard send key,Android Game Controller.xlsx
kb_5,Keyboard send key,Android Game Controller.xlsx
kb_6,Keyboard send key,Android Game Controller.xlsx
kb_7,Keyboard send key,Android Game Controller.xlsx
kb_8,Keyboard send key,Android Game Controller.xlsx
kb_9,Keyboard send key,Android Game Controller.xlsx
kb_0,Keyboard send key,Android Game Controller.xlsx
kb_enter,Keyboard send key,Android Game Controller.xlsx
kb_escape,Keyboard send key,Android Game Controller.xlsx
kb_backspace,Keyboard send key,Android Game Controller.xlsx
kb_tab,Keyboard send key,Android Game Controller.xlsx
kb_space,Keyboard send key,Android Game Controller.xlsx
kb_minus,Keyboard send key,Android Game Controller.xlsx
kb_equal,Keyboard send key,Android Game Controller.xlsx
kb_opening_bracket,Keyboard send key,Android Game Controller.xlsx
kb_closing_bracket,Keyboard send key,Android Game Controller.xlsx
kb_backslash,Keyboard send key,Android Game Controller.xlsx
kb_non_us_hashmark_and_tilde,Keyboard send key,Android Game Controller.xlsx
kb_semicolon,Keyboard send key,Android Game Controller.xlsx
kb_apostrophe,Keyboard send key,Android Game Controller.xlsx
kb_grave_accent_and_tilde,Keyboard send key,Android Game Controller.xlsx
kb_comma,Keyboard send key,Android Game Controller.xlsx
kb_dot,Keyboard send key,Android Game Controller.xlsx
kb_slash,Keyboard send key,Android Game Controller.xlsx
kb_caps_lock,Keyboard send key,Android Game Controller.xlsx
kb_f1,Keyboard send key,Android Game Controller.xlsx
kb_f2,Keyboard send key,Android Game Controller.xlsx
kb_f3,Keyboard send key,Android Game Controller.xlsx
kb_f4,Keyboard send key,Android Game Controller.xlsx
kb_f5,Keyboard send key,Android Game Controller.xlsx
kb_f6,Keyboard send key,Android Game Controller.xlsx
kb_f7,Keyboard send key,Android Game Controller.xlsx
kb_f8,Keyboard send key,Android Game Controller.xlsx
kb_f9,Keyboard send key,Android Game Controller.xlsx
kb_f10,Keyboard send key,Android Game Controller.xlsx
kb_f11,Keyboard send key,Android Game Controller.xlsx
kb_f12,Keyboard send key,Android Game Controller.xlsx
kb_printscreen,Keyboard send key,Android Game Controller.xlsx
kb_roll_lock,Keyboard send key,Android Game Controller.xlsx
kb_pause,Keyboard send key,Android Game Controller.xlsx
kb_insert,Keyboard send key,Android Game Controller.xlsx
kb_home,Keyboard send key,Android Game Controller.xlsx
kb_page_up,Keyboard send key,Android Game Controller.xlsx
kb_delete,Keyboard send key,Android Game Controller.xlsx
kb_end,Keyboard send key,Android Game Controller.xlsx
kb_page_down,Keyboard send key,Android Game Controller.xlsx
kb_right_arrow,Keyboard send key,Android Game Controller.xlsx
kb_left_arrow,Keyboard send key,Android Game Controller.xlsx
kb_down_arrow,Keyboard send key,Android Game Controller.xlsx
kb_up_arrow,Keyboard send key,Android Game Controller.xlsx
kb_num_lock,Keyboard send key,Android Game Controller.xlsx
kb_keypad_slash,Keyboard send key,Android Game Controller.xlsx
kb_keypad_asterisk,Keyboard send key,Android Game Controller.xlsx
kb_keypad_minus,Keyboard send key,Android Game Controller.xlsx
kb_keypad_plus,Keyboard send key,Android Game Controller.xlsx
kb_keypad_enter,Keyboard send key,Android Game Controller.xlsx
kb_keypad_1,Keyboard send key,Android Game Controller.xlsx
kb_keypad_2,Keyboard send key,Android Game Controller.xlsx
kb_keypad_3,Keyboard send key,Android Game Controller.xlsx
kb_keypad_4,Keyboard send key,Android Game Controller.xlsx
kb_keypad_5,Keyboard send key,Android Game Controller.xlsx
kb_keypad_6,Keyboard send key,Android Game Controller.xlsx
kb_keypad_7,Keyboard send key,Android Game Controller.xlsx
kb_keypad_8,Keyboard send key,Android Game Controller.xlsx
kb_keypad_9,Keyboard send key,Android Game Controller.xlsx
kb_keypad_0,Keyboard send key,Android Game Controller.xlsx
kb_keypad_dot,Keyboard send key,Android Game Controller.xlsx
kb_non_us_backslash_and_pipe,Keyboard send key,Android Game Controller.xlsx
kb_power,Keyboard send key,Android Game Controller.xlsx
kb_equal_sign,Keyboard send key,Android Game Controller.xlsx
kb_f13,Keyboard send key,Android Game Controller.xlsx
kb_f14,Keyboard send key,Android Game Controller.xlsx
kb_f15,Keyboard send key,Android Game Controller.xlsx
kb_f16,Keyboard send key,Android Game Controller.xlsx
kb_f17,Keyboard send key,Android Game Controller.xlsx
kb_f18,Keyboard send key,Android Game Controller.xlsx
kb_f19,Keyboard send key,Android Game Controller.xlsx
kb_f20,Keyboard send key,Android Game Controller.xlsx
kb_f21,Keyboard send key,Android Game Controller.xlsx
kb_f22,Keyboard send key,Android Game Controller.xlsx
kb_f23,Keyboard send key,Android Game Controller.xlsx
kb_f24,Keyboard send key,Android Game Controller.xlsx
kb_execute,Keyboard send key,Android Game Controller.xlsx
kb_help,Keyboard send key,Android Game Controller.xlsx
kb_manu,Keyboard send key,Android Game Controller.xlsx
kb_select,Keyboard send key,Android Game Controller.xlsx
kb_stop,Keyboard send key,Android Game Controller.xlsx
kb_again,Keyboard send key,Android Game Controller.xlsx
kb_undo,Keyboard send key,Android Game Controller.xlsx
kb_cut,Keyboard send key,Android Game Controller.xlsx
kb_copy,Keyboard send key,Android Game Controller.xlsx
kb_paste,Keyboard send key,Android Game Controller.xlsx
kb_find,Keyboard send key,Android Game Controller.xlsx
kb_mute,Keyboard send key,Android Game Controller.xlsx
kb_volume_up,Keyboard send key,Android Game Controller.xlsx
kb_volume_down,Keyboard send key,Android Game Controller.xlsx
kb_locking_caps_lock,Keyboard send key,Android Game Controller.xlsx
kb_locking_num_lock,Keyboard send key,Android Game Controller.xlsx
kb_lockingroll_lock,Keyboard send key,Android Game Controller.xlsx
kb_keypad_comma,Keyboard send key,Android Game Controller.xlsx
kb_keypad_equal_sign,Keyboard send key,Android Game Controller.xlsx
kb_international1,Keyboard send key,Android Game Controller.xlsx
kb_international2,Keyboard send key,Android Game Controller.xlsx
kb_international3,Keyboard send key,Android Game Controller.xlsx
kb_international4,Keyboard send key,Android Game Controller.xlsx
kb_international5,Keyboard send key,Android Game Controller.xlsx
kb_international6,Keyboard send key,Android Game Controller.xlsx
kb_international7,Keyboard send key,Android Game Controller.xlsx
kb_international8,Keyboard send key,Android Game Controller.xlsx
kb_international9,Keyboard send key,Android Game Controller.xlsx
kb_lang1,Keyboard send key,Android Game Controller.xlsx
kb_lang2,Keyboard send key,Android Game Controller.xlsx
kb_lang3,Keyboard send key,Android Game Controller.xlsx
kb_lang4,Keyboard send key,Android Game Controller.xlsx
kb_lang5,Keyboard send key,Android Game Controller.xlsx
kb_lang6,Keyboard send key,Android Game Controller.xlsx
kb_lang7,Keyboard send key,Android Game Controller.xlsx
kb_lang8,Keyboard send key,Android Game Controller.xlsx
kb_lang9,Keyboard send key,Android Game Controller.xlsx
kb_alternate_erase,Keyboard send key,Android Game Controller.xlsx
kb_sisreq,Keyboard send key,Android Game Controller.xlsx
kb_cancel,Keyboard send key,Android Game Controller.xlsx
kb_clear,Keyboard send key,Android Game Controller.xlsx
kb_prior,Keyboard send key,Android Game Controller.xlsx
kb_return,Keyboard send key,Android Game Controller.xlsx
kb_separator,Keyboard send key,Android Game Controller.xlsx
kb_out,Keyboard send key,Android Game Controller.xlsx
kb_oper,Keyboard send key,Android Game Controller.xlsx
kb_clear_and_again,Keyboard send key,Android Game Controller.xlsx
kb_crsel_andprops,Keyboard send key,Android Game Controller.xlsx
kb_exsel,Keyboard send key,Android Game Controller.xlsx
kb_keypad_00,Keyboard send key,Android Game Controller.xlsx
kb_keypad_000,Keyboard send key,Android Game Controller.xlsx
kb_thousands_separator,Keyboard send key,Android Game Controller.xlsx
kb_decimal_separator,Keyboard send key,Android Game Controller.xlsx
kb_currency_unit,Keyboard send key,Android Game Controller.xlsx
kb_currency_sub_unit,Keyboard send key,Android Game Controller.xlsx
kb_keypad_opening_parenthesis,Keyboard send key,Android Game Controller.xlsx
kb_keypad_closing_parenthesis,Keyboard send key,Android Game Controller.xlsx
kb_keypad_opening_brace,Keyboard send key,Android Game Controller.xlsx
kb_keypad_closing_brace,Keyboard send key,Android Game Controller.xlsx
kb_keypad_tab,Keyboard send key,Android Game Controller.xlsx
kb_keypad_backspace,Keyboard send key,Android Game Controller.xlsx
kb_keypad_a,Keyboard send key,Android Game Controller.xlsx
kb_keypad_b,Keyboard send key,Android Game Controller.xlsx
kb_keypad_c,Keyboard send key,Android Game Controller.xlsx
kb_keypad_d,Keyboard send key,Android Game Controller.xlsx
kb_keypad_e,Keyboard send key,Android Game Controller.xlsx
kb_keypad_f,Keyboard send key,Android Game Controller.xlsx
kb_keypad_xor,Keyboard send key,Android Game Controller.xlsx
kb_keypad_caret,Keyboard send key,Android Game Controller.xlsx
kb_keypad_percentage,Keyboard send key,Android Game Controller.xlsx
kb_keypad_less_than_sign,Keyboard send key,Android Game Controller.xlsx
kb_keypad_greater_than_sign,Keyboard send key,Android Game Controller.xlsx
kb_keypad_amp,Keyboard send key,Android Game Controller.xlsx
kb_keypad_amp_amp,Keyboard send key,Android Game Controller.xlsx
kb_keypad_pipe,Keyboard send key,Android Game Controller.xlsx
kb_keypad_pipe_pipe,Keyboard send key,Android Game Controller.xlsx
kb_keypad_colon,Keyboard send key,Android Game Controller.xlsx
kb_keypad_hashmark,Keyboard send key,Android Game Controller.xlsx
kb_keypad_space,Keyboard send key,Android Game Controller.xlsx
kb_keypad_at,Keyboard send key,Android Game Controller.xlsx
kb_keypad_exclamation_sign,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_store,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_recall,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_clear,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_add,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_subtract,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_multiply,Keyboard send key,Android Game Controller.xlsx
kb_keypad_memory_divide,Keyboard send key,Android Game Controller.xlsx
kb_keypad_plus_and_minus,Keyboard send key,Android Game Controller.xlsx
kb_keypad_clear,Keyboard send key,Android Game Controller.xlsx
kb_keypad_clear_entry,Keyboard send key,Android Game Controller.xlsx
kb_keypad_binary,Keyboard send key,Android Game Controller.xlsx
kb_keypad_octal,Keyboard send key,Android Game Controller.xlsx
kb_keypad_decimal,Keyboard send key,Android Game Controller.xlsx
kb_keypad_hexadecimal,Keyboard send key,Android Game Controller.xlsx
kb_left_control,Keyboard modify key,Android Game Controller.xlsx
kb_left_shift,Keyboard modify key,Android Game Controller.xlsx
kb_left_alt,Keyboard modify key,Android Game Controller.xlsx
kb_left_gui,Keyboard modify key (Windows Key),Android Game Controller.xlsx
kb_right_control,Keyboard modify key,Android Game Controller.xlsx
kb_right_shift,Keyboard modify key,Android Game Controller.xlsx
kb_right_alt,Keyboard modify key,Android Game Controller.xlsx
kb_right_gui,Keyboard modify key (Windows Key),Android Game Controller.xlsx
none,,Android Game Controller.xlsx
dpad_N,PS3 D-Pad Button North,Bluetooth GamePad Default.xlsx
dpad_NE,PS3 D-Pad Buttons North and East,Bluetooth GamePad Default.xlsx
dpad_E,PS3 D-Pad Button East,Bluetooth GamePad Default.xlsx
dpad_SE,PS3 D-Pad Buttons South and East,Bluetooth GamePad Default.xlsx
dpad_S,PS3 D-Pad Button South,Bluetooth GamePad Default.xlsx
dpad_SW,PS3 D-Pad Buttons South and West,Bluetooth GamePad Default.xlsx
dpad_W,PS3 D-Pad Button West,Bluetooth GamePad Default.xlsx
dpad_NW,PS3 D-Pad Buttons North and West,Bluetooth GamePad Default.xlsx
left_joy_left,PS3 Left Joystick Left side,Bluetooth GamePad Default.xlsx
left_joy_right,PS3 Left Joystick Right side,Bluetooth GamePad Default.xlsx
left_joy_up,PS3 Left Joystick Up,Bluetooth GamePad Default.xlsx
left_joy_down,PS3 Left Joystick Down,Bluetooth GamePad Default.xlsx
right_joy_left,PS3 Right Joystick Left side,Bluetooth GamePad Default.xlsx
right_joy_right,PS3 Right Joystick Right side,Bluetooth GamePad Default.xlsx
right_joy_up,PS3 Right Joystick Up,Bluetooth GamePad Default.xlsx
right_joy_down,PS3 Right Joystick Down,Bluetooth GamePad Default.xlsx
left_1,PS3 Left Button 1,Bluetooth GamePad Default.xlsx
left_2,PS3 Left Button 2 (trigger),Bluetooth GamePad Default.xlsx
left_3,PS3 Left Button 3 (Press joystick),Bluetooth GamePad Default.xlsx
right_1,PS3 Right Button 1,Bluetooth GamePad Default.xlsx
right_2,PS3 Right Button 2 (trigger),Bluetooth GamePad Default.xlsx
right_3,PS3 Right Button 3 (Press joystick),Bluetooth GamePad Default.xlsx
x,PS3 Button X,Bluetooth GamePad Default.xlsx
square,PS3 Button Square,Bluetooth GamePad Default.xlsx
triangle,PS3 Button Triangle,Bluetooth GamePad Default.xlsx
circle,PS3 Button Circle,Bluetooth GamePad Default.xlsx
ps3,PS3 Home,Bluetooth GamePad Default.xlsx
select,PS3 Select,Bluetooth GamePad Default.xlsx
start,PS3 Start,Bluetooth GamePad Default.xlsx
acceleration_x_right,PS3 motion sensor to right,Bluetooth GamePad Default.xlsx
acceleration_x_left,PS3 motion sensor to left,Bluetooth GamePad Default.xlsx
acceleration_y_fore,PS3 motion sensor away from player,Bluetooth GamePad Default.xlsx
acceleration_y_aft,PS3 motion sensor towards player,Bluetooth GamePad Default.xlsx
acceleration_z_up,PS3 motion sensor up,Bluetooth GamePad Default.xlsx
acceleration_z_down,PS3 motion sensor down,Bluetooth GamePad Default.xlsx
gyroscope_cw,PS3 gyroscope clockwise,Bluetooth GamePad Default.xlsx
gyroscope_ccw,PS3 gyroscope counter clockwise,Bluetooth GamePad Default.xlsx
mouse_left,Mouse Left movement,Bluetooth GamePad Default.xlsx
mouse_right,Mouse Right movement,Bluetooth GamePad Default.xlsx
mouse_up,Mouse Up movement,Bluetooth GamePad Default.xlsx
mouse_down,Mouse Down movement,Bluetooth GamePad Default.xlsx
mouse_wheel_up,Mouse Wheel Up rotation,Bluetooth GamePad Default.xlsx
mouse_wheel_down,Mouse Wheel Down rotation,Bluetooth GamePad Default.xlsx
mouse_pan_left,Mouse Pan Left tilt,Bluetooth GamePad Default.xlsx
mouse_pan_right,Mouse Pan Right tilt,Bluetooth GamePad Default.xlsx
mouse_back,Mouse Button Back,Bluetooth GamePad Default.xlsx
mouse_forward,Mouse Button Forward,Bluetooth GamePad Default.xlsx
mouse_left_button,Mouse Button Left,Bluetooth GamePad Default.xlsx
mouse_right_button,Mouse Button Right,Bluetooth GamePad Default.xlsx
mouse_middle_button,Mouse Button Middle,Bluetooth GamePad Default.xlsx
digital_out1_on,Digital Out 1 turn on,Bluetooth GamePad Default.xlsx
digital_out1_off,Digital Out 1 turn off,Bluetooth GamePad Default.xlsx
digital_out1_toggle,Digital Out 1 toggle state,Bluetooth GamePad Default.xlsx
digital_out2_on,Digital Out 2 turn on,Bluetooth GamePad Default.xlsx
digital_out2_off,Digital Out 2 turn off,Bluetooth GamePad Default.xlsx
digital_out2_toggle,Digital Out 2 toggle state,Bluetooth GamePad Default.xlsx
brightness_up,LEDs Brighter,Bluetooth GamePad Default.xlsx
brightness_down,LEDs Dimmer,Bluetooth GamePad Default.xlsx
volume_up,Speaker increase volume,Bluetooth GamePad Default.xlsx
volume_down,Speaker decrease volume,Bluetooth GamePad Default.xlsx
increment_mode,Change to next profile,Bluetooth GamePad Default.xlsx
decrement_mode,Change to previous profile,Bluetooth GamePad Default.xlsx
ir_tv_channel_up,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_tv_channel_down,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_tv_volume_up,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_tv_volume_down,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_tv_on_off,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_tv_select_input,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_play,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_stop,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_fast_forward,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_rewind,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_skip_forward,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_skip_back,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_record,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_pause,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_mute,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_guide,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_menu,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_cancel,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_select,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_up,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_down,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_left,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_right,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_aux1,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_aux2,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_aux3,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
ir_aux4,Xmit IR code from command table,Bluetooth GamePad Default.xlsx
kb_a,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_b,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_c,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_d,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_e,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_f,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_g,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_h,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_i,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_j,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_k,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_l,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_m,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_n,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_o,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_p,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_q,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_r,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_s,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_t,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_u,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_v,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_w,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_x,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_y,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_z,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_1,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_2,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_3,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_4,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_5,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_6,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_7,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_8,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_9,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_0,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_enter,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_escape,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_backspace,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_tab,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_space,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_minus,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_equal,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_opening_bracket,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_closing_bracket,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_backslash,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_non_us_hashmark_and_tilde,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_semicolon,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_apostrophe,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_grave_accent_and_tilde,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_comma,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_dot,Keyboard send key,Bluetooth GamePad Default.xlsx
kb_slash,Keyboard send key,Bluetooth GamePad Default.xlsx
