source_xlsx,sheet_name,preference,value,units,description
UltraStik Left XBox 360 PC.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
UltraStik Left XBox 360 PC.xlsx,Preferences,enable_DS3_emulation,3,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode, 3=XBox 360 emulation"
UltraStik X360CE Default.xlsx,Preferences,digital_out_1,1,on/off,Initial output state for relay 1
UltraStik X360CE Default.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
UltraStik X360CE Default.xlsx,Preferences,enable_DS3_emulation,2,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode"
USB A.xlsx,Preferences,enable_usb_a_device,1,,"1=USB-A port active, 0=USB-B port active"
World of Tanks.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
World of Tanks.xlsx,Preferences,digital_out_2,0,on/off,Initial output state for relay 2
X360CE Configuration.xlsx,Preferences,digital_out_1,1,on/off,Initial output state for relay 1
X360CE Configuration.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
X360CE Configuration.xlsx,Preferences,enable_DS3_emulation,2,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode"
XBox 360 for PC Configuration.xlsx,Preferences,enable_DS3_emulation,3,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode, 3=XBox 360 emulation"
XBox 360 for PC Configuration.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
XBox 360 for PC Configuration.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
XBox 360 for PC UltraStik with Bluetooth mouse.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
XBox 360 for PC UltraStik with Bluetooth mouse.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
XBox 360 for PC UltraStik with Bluetooth mouse.xlsx,Preferences,enable_DS3_emulation,3,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode, 3=XBox 360 emulation"
XBox 360 for PC UltraStik.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
XBox 360 for PC UltraStik.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
XBox 360 for PC UltraStik.xlsx,Preferences,enable_DS3_emulation,3,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode, 3=XBox 360 emulation"
XBox 360 for PC with Bluetooth Mouse.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
XBox 360 for PC with Bluetooth Mouse.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
XBox 360 for PC with Bluetooth Mouse.xlsx,Preferences,enable_DS3_emulation,3,,"0=Normal composite device mode, 1=Dual Shock 3 emulation, 2=X360CE mode, 3=XBox 360 emulation"
