input_name,description,delay,source_xlsx
push,Push Switch in Joystick,instant,Android Game Controller.xlsx
center,Joystick Center position,instant,Android Game Controller.xlsx
mp_left_sip,Mouthpiece Hard Sip Left sip/puff sensor,instant,Android Game Controller.xlsx
mp_left_puff,Mouthpiece Hard Puff Left sip/puff sensor,instant,Android Game Controller.xlsx
mp_center_sip,Mouthpiece Hard Sip Center sip/puff sensor,instant,Android Game Controller.xlsx
mp_center_puff,Mouthpiece Hard Puff Center sip/puff sensor,instant,Android Game Controller.xlsx
mp_right_sip,Mouthpiece Hard Sip Right sip/puff sensor,instant,Android Game Controller.xlsx
mp_right_puff,Mouthpiece Hard Puff Right sip/puff sensor,instant,Android Game Controller.xlsx
mp_left_center_sip,Mouthpiece Hard Sip Left-Center sip/puff sensors,instant,Android Game Controller.xlsx
mp_left_center_puff,Mouthpiece Hard Puff Left-Center sip/puff sensors,instant,Android Game Controller.xlsx
mp_right_center_sip,Mouthpiece Hard Sip Right-Center sip/puff sensors,instant,Android Game Controller.xlsx
mp_right_center_puff,Mouthpiece Hard Puff Right-Center sip/puff sensors,instant,Android Game Controller.xlsx
mp_left_right_sip,Mouthpiece Hard Sip Left-Right sip/puff sensors,instant,Android Game Controller.xlsx
mp_left_right_puff,Mouthpiece Hard Puff Left-Right sip/puff sensors,instant,Android Game Controller.xlsx
mp_triple_sip,Mouthpiece Hard Sip All Three sip/puff sensors,instant,Android Game Controller.xlsx
mp_triple_puff,Mouthpiece Hard Puff All Three sip/puff sensors,instant,Android Game Controller.xlsx
mp_left_sip_soft,Mouthpiece Soft Sip Left sip/puff sensor,delay,Android Game Controller.xlsx
mp_left_puff_soft,Mouthpiece Soft Puff Left sip/puff sensor,delay,Android Game Controller.xlsx
mp_center_sip_soft,Mouthpiece Soft Sip Center sip/puff sensor,delay,Android Game Controller.xlsx
mp_center_puff_soft,Mouthpiece Soft Puff Center sip/puff sensor,delay,Android Game Controller.xlsx
mp_right_sip_soft,Mouthpiece Soft Sip Right sip/puff sensor,delay,Android Game Controller.xlsx
mp_right_puff_soft,Mouthpiece Soft Puff Right sip/puff sensor,delay,Android Game Controller.xlsx
mp_left_center_sip_soft,Mouthpiece Soft Sip Left-Center sip/puff sensors,delay,Android Game Controller.xlsx
mp_left_center_puff_soft,Mouthpiece Soft Puff Left-Center sip/puff sensors,delay,Android Game Controller.xlsx
mp_right_center_sip_soft,Mouthpiece Soft Sip Right-Center sip/puff sensors,delay,Android Game Controller.xlsx
mp_right_center_puff_soft,Mouthpiece Soft Puff Right-Center sip/puff sensors,delay,Android Game Controller.xlsx
mp_left_right_sip_soft,Mouthpiece Soft Sip Left-Right sip/puff sensors,delay,Android Game Controller.xlsx
mp_left_right_puff_soft,Mouthpiece Soft Puff Left-Right sip/puff sensors,delay,Android Game Controller.xlsx
mp_triple_sip_soft,Mouthpiece Soft Sip All Three sip/puff sensors,delay,Android Game Controller.xlsx
mp_triple_puff_soft,Mouthpiece Soft Puff All Three sip/puff sensors,delay,Android Game Controller.xlsx
right_sip,Hard Sip Right sip/puff sensor,instant,Android Game Controller.xlsx
right_puff,Hard Puff Right sip/puff sensor,instant,Android Game Controller.xlsx
right_sip_soft,Soft Sip Right sip/puff sensor,delay,Android Game Controller.xlsx
right_puff_soft,Soft Puff Right sip/puff sensor,delay,Android Game Controller.xlsx
lip,Lower Lip Position sensor,instant,Android Game Controller.xlsx
lip_soft,Lower Lip Position sensor less push,delay,Android Game Controller.xlsx
left,Joystick Left Analog value,instant,Android Game Controller.xlsx
right,Joystick Right Analog value,instant,Android Game Controller.xlsx
up,Joystick Up Analog value,instant,Android Game Controller.xlsx
down,Joystick Down Analog value,instant,Android Game Controller.xlsx
N,Joystick Outer ring North zone,instant,Android Game Controller.xlsx
NE,Joystick Outer ring North East zone,instant,Android Game Controller.xlsx
E,Joystick Outer ring East zone,instant,Android Game Controller.xlsx
SE,Joystick Outer ring South East zone,instant,Android Game Controller.xlsx
S,Joystick Outer ring South zone,instant,Android Game Controller.xlsx
SW,Joystick Outer ring South West zone,instant,Android Game Controller.xlsx
W,Joystick Outer ring West zone,instant,Android Game Controller.xlsx
NW,Joystick Outer ring North West zone,instant,Android Game Controller.xlsx
N_inner,Joystick Inner ring North zone,delay,Android Game Controller.xlsx
NE_inner,Joystick Inner ring North East zone,delay,Android Game Controller.xlsx
E_inner,Joystick Inner ring East zone,delay,Android Game Controller.xlsx
SE_inner,Joystick Inner ring South East zone,delay,Android Game Controller.xlsx
S_inner,Joystick Inner ring South zone,delay,Android Game Controller.xlsx
SW_inner,Joystick Inner ring South West zone,delay,Android Game Controller.xlsx
W_inner,Joystick Inner ring West zone,delay,Android Game Controller.xlsx
NW_inner,Joystick Inner ring North West zone,delay,Android Game Controller.xlsx
usb_1_left,USB output report byte 5,instant,Android Game Controller.xlsx
